                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4 
                                       1                                     2493                  8.0468071464939130E+003                  3.9056235929490297E+000                  2.7400000000000007E+000                  5.5801760454000326E-001                  1.8501904051212146E+000                 -3.6386338738756059E+001                  1.8501904051212148E+000                  1.1467983885405875E+000                  1.7543788956305859E+000                 -3.6386338738756059E+001                  0.0000000000000000E+000                  4.0601276720623627E+000                  1.7690503389219250E+000                  2.8692298620073320E-001                  4.3019722177220547E+000                  1.7143574620310382E+001                  1.6450050856665643E+000                  7.3673105081836265E+000                  6.1820306667441438E-001                  6.9900625151729434E-001                  2.8042963723726028E-001                  6.2956108544594345E-005                  9.3530920470515661E-003                  4.9822640168823091E-003                  6.9999999999642049E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495410E-003                  1.0103427409336053E-003                  1.9173551733642888E+000                  7.6739447044797449E-001 
                                       5                                     1002                  5.9881120061349095E+004                  4.2223485771395293E+000                  2.7400000000000007E+000                  4.6084539119123713E-001                  1.7488081137658065E+000                 -3.6396399782610601E+001                  1.7488081137658067E+000                  1.0890995955041378E+000                  1.6415019378219227E+000                 -3.6396399782610601E+001                  0.0000000000000000E+000                  4.0589742621598504E+000                  1.7608666263728392E+000                  2.8513794973121581E-001                  4.3055422906610890E+000                  1.7141895555054145E+001                  1.6434869894896831E+000                  7.3671716769550279E+000                  6.1823849018092758E-001                  6.9895098150533352E-001                  2.8048160069690831E-001                  3.6380946506457454E-005                  9.3491529728998417E-003                  5.0167150624776079E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9173237125966742E+000                  7.6742047448203699E-001 
                                      10                                      999                  2.0888450873240523E+005                  4.6182548073776530E+000                  2.7400000000000007E+000                  4.4058393167989585E-001                  1.7481068246239286E+000                 -3.6365442934062855E+001                  1.7481068246239282E+000                  1.0957843546816537E+000                  1.6387077215698755E+000                 -3.6365442934062855E+001                  0.0000000000000000E+000                  4.0585299417871461E+000                  1.7551066402007063E+000                  2.8314659739055803E-001                  4.3095249953424046E+000                  1.7145258023814808E+001                  1.6463086976306589E+000                  7.3677400821240369E+000                  6.1827797133998386E-001                  6.9879433635023425E-001                  2.8063949472651478E-001                  3.4236572487612819E-005                  9.3370004199137598E-003                  5.0298503160290838E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9172381825710458E+000                  7.6749600984632615E-001 
                                      15                                     1000                  5.7965262083036755E+005                  5.0141610376157768E+000                  2.7400000000000007E+000                  4.5625774166794658E-001                  1.7526943378859310E+000                 -3.6327663932549996E+001                  1.7526943378859308E+000                  1.1007202888179211E+000                  1.6431953717529353E+000                 -3.6327663932549996E+001                  0.0000000000000000E+000                  4.0587579549029220E+000                  1.7539013671424064E+000                  2.8208793462985637E-001                  4.3116423208638084E+000                  1.7146322166188067E+001                  1.6466751831984394E+000                  7.3685211860342834E+000                  6.1841374871754173E-001                  6.9841009093579054E-001                  2.8102750433571538E-001                  3.4470610721019025E-005                  9.3072172201922997E-003                  5.0556375711797181E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9170232528031035E+000                  7.6769042463763459E-001 
                                      20                                      992                  1.5022423295259690E+006                  5.4100672678539015E+000                  2.7400000000000007E+000                  4.8000235216725712E-001                  1.7515982758042865E+000                 -3.6298039414428480E+001                  1.7515982758042865E+000                  1.1021017403749795E+000                  1.6413862320505299E+000                 -3.6298039414428480E+001                  0.0000000000000000E+000                  4.0586213318024367E+000                  1.7515933679166822E+000                  2.8120718121796379E-001                  4.3134038276875932E+000                  1.7145776528827181E+001                  1.6458093331290502E+000                  7.3691156117544070E+000                  6.1882364926423350E-001                  6.9747677081437387E-001                  2.8196983197253456E-001                  3.4950903980933717E-005                  9.2358219510811131E-003                  5.1175480895154406E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9164895810498286E+000                  7.6818783807165114E-001 
                                      25                                      983                  3.7979407534674075E+006                  5.8059734980920252E+000                  2.7400000000000007E+000                  5.0331976373317988E-001                  1.7508972211764768E+000                 -3.6276940283593092E+001                  1.7508972211764773E+000                  1.1007822111714312E+000                  1.6408636777044432E+000                 -3.6276940283593092E+001                  0.0000000000000000E+000                  4.0581728793994420E+000                  1.7503185892775932E+000                  2.8146669670440916E-001                  4.3128847967147026E+000                  1.7143705734635684E+001                  1.6441831165755072E+000                  7.3694238142102098E+000                  6.1991556346745857E-001                  6.9515494025925118E-001                  2.8431335864383844E-001                  3.6003820404457789E-005                  9.0637399382514014E-003                  5.2668914482473248E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9151697139260986E+000                  7.6945959500509176E-001 
                                      30                                      974                  9.5103730557293668E+006                  6.2018797283301490E+000                  2.7400000000000007E+000                  5.1694368799216461E-001                  1.7513692450680622E+000                 -3.6274533785893354E+001                  1.7513692450680622E+000                  1.0915573229453228E+000                  1.6440920471118416E+000                 -3.6274533785893354E+001                  0.0000000000000000E+000                  4.0568597875531731E+000                  1.7506768626090454E+000                  2.8427201706267313E-001                  4.3072741559981749E+000                  1.7138052118556633E+001                  1.6407937938495012E+000                  7.3690834232799620E+000                  6.2268428119466812E-001                  6.8943949269403215E-001                  2.9007806630048732E-001                  3.8254982667770407E-005                  8.6726864896915935E-003                  5.6064368597632938E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9118982521956338E+000                  7.7268617361882275E-001 
                                      35                                      975                  2.3724732602093846E+007                  6.5977859585682737E+000                  2.7400000000000007E+000                  5.1783642217715331E-001                  1.7549251361089337E+000                 -3.6269528427199361E+001                  1.7549251361089337E+000                  1.0658575460087083E+000                  1.6555038337627466E+000                 -3.6269528427199361E+001                  0.0000000000000000E+000                  4.0538372615843059E+000                  1.7543129678298814E+000                  2.9213512161082444E-001                  4.2915479469018720E+000                  1.7125965184607484E+001                  1.6346721556230097E+000                  7.3681419117847007E+000                  6.2995626197600951E-001                  6.7467067786356738E-001                  3.0495433183622656E-001                  4.3142976685218386E-005                  7.8201989942356734E-003                  6.3466607586001988E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.9037393878747815E+000                  7.8082256367256053E-001 
                                      40                                      983                  5.9094607748503499E+007                  6.9936921888063974E+000                  2.7400000000000007E+000                  5.0814535141594175E-001                  1.7670360102411353E+000                 -3.6161016393177512E+001                  1.7670360102411355E+000                  1.0113112510311471E+000                  1.6832270703929408E+000                 -3.6161016393177512E+001                  0.0000000000000000E+000                  4.0476345243823717E+000                  1.7665395066318819E+000                  3.1065386541569390E-001                  4.2545104592921330E+000                  1.7104294398107477E+001                  1.6265536868094066E+000                  7.3678397038086070E+000                  6.4955806398949145E-001                  6.3623627723045939E-001                  3.4358901514130491E-001                  5.2432979477494129E-005                  6.2329193289787140E-003                  7.7246749927906248E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.8830761849124280E+000                  8.0150349223401407E-001 
                                      45                                      979                  1.0824124136885737E+008                  6.9370535749147644E+000                  2.7400000000000007E+000                  4.7896401070021849E-001                  1.7866706983705323E+000                 -3.5895148757422632E+001                  1.7866706983705325E+000                  9.4001403331101918E-001                  1.7199831366152540E+000                 -3.5895148757422632E+001                  0.0000000000000000E+000                  4.0396544534495211E+000                  1.7862150968307280E+000                  3.3645180238081807E-001                  4.2029145853618850E+000                  1.7082169494738825E+001                  1.6229200527847258E+000                  7.3700286213890696E+000                  6.8143672150405643E-001                  5.7824115767213669E-001                  4.0178316283520565E-001                  6.2195548064926935E-005                  4.6580529919976717E-003                  9.0912933742970051E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.8532812536058463E+000                  8.3133436842564545E-001 
                                      50                                      976                  1.4841139040606162E+008                  6.8868158668916246E+000                  2.7400000000000007E+000                  4.5284561104388005E-001                  1.8039174589587168E+000                 -3.5616882969675885E+001                  1.8039174589587168E+000                  8.7507112459176184E-001                  1.7494833940524106E+000                 -3.5616882969675885E+001                  0.0000000000000000E+000                  4.0325928539046929E+000                  1.8034595507948910E+000                  3.5919722845255703E-001                  4.1574237332184065E+000                  1.7067063254193236E+001                  1.6241913130904417E+000                  7.3732404486591498E+000                  7.1308217290652298E-001                  5.2571952437497771E-001                  4.5443051472328166E-001                  6.8886900378075622E-005                  3.6649396325669392E-003                  9.9524609861002204E-003                  6.9999999999642071E-001                  2.7997020236474879E-001                  3.4468833607860742E-003                  9.3805276451495393E-003                  1.0103427409336059E-003                  1.8278937955750452E+000                  8.5674439407113345E-001 
