                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220405"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4 
                                       1                                     3832                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  8.4531384418069011E-002                 -1.4975331926850122E-001                 -4.7230250108868226E+001                 -1.4975331926850113E-001                 -2.1333810885074714E-001                 -1.0155889640970259E+000                 -4.7230250108868226E+001                  0.0000000000000000E+000                  3.7496834564584209E+000                 -1.4952751862601793E-001                 -5.1477511365353737E-002                  4.5410226500338400E+000                  1.7152668472187386E+001                  1.8873479082957136E+000                  7.1366563127625779E+000                  6.2135924775364637E-001                  6.9949846207059951E-001                  2.8035052511519132E-001                  2.9911972601906261E-003                  9.3805037551786142E-003                  1.5419974286749892E-003                  6.9999999363379406E-001                  2.7997020236474834E-001                  3.4468833607860672E-003                  9.3805276451495254E-003                  1.0103427409336042E-003                  6.9990099277973650E-001                  2.8001921110333633E-001 
                                       5                                      819                  7.4416000000000000E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  8.0170309907463697E-002                 -1.5527004198859620E-001                 -4.7242924858815933E+001                 -1.5527004198859606E-001                 -2.1797676804514995E-001                 -1.0267164021606501E+000                 -4.7242924858815933E+001                  0.0000000000000000E+000                  3.7490522488425495E+000                 -1.5486091438254573E-001                 -5.2881794011875122E-002                  4.5438312153268834E+000                  1.7152692572044494E+001                  1.8875915227439675E+000                  7.1364455387405812E+000                  6.2137606720806859E-001                  6.9946465052199946E-001                  2.8037857049299431E-001                  2.9440880115433644E-003                  9.3805009149095769E-003                  1.5969607040036426E-003                  6.9999999363182930E-001                  2.7997020236474879E-001                  3.4468833607860733E-003                  9.3805276451495393E-003                  1.0103427409336068E-003                  6.9989533905864465E-001                  2.8002236360901733E-001 
                                      10                                      815                  2.5958682112000003E+006                  5.7126312144286233E+000                  1.0000000000000000E+000                  7.0432259209214379E-002                 -1.5818961532498249E-001                 -4.7277139702539522E+001                 -1.5818961532498221E-001                 -2.1659490052047897E-001                 -1.0583971976621174E+000                 -4.7277139702539522E+001                  0.0000000000000000E+000                  3.7482836476807377E+000                 -1.6143244543199095E-001                 -5.4630357212974143E-002                  4.5473283417290808E+000                  1.7153108196703517E+001                  1.8887250155900976E+000                  7.1357498034539768E+000                  6.2142624931544677E-001                  6.9936370607211684E-001                  2.8045866298044619E-001                  2.8062794242731423E-003                  9.3804923128312390E-003                  1.7577449159708824E-003                  6.9999999362570187E-001                  2.7997020236474890E-001                  3.4468833607860742E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9987923814394937E-001                  2.8003140839766966E-001 
                                      15                                      810                  7.2035107872931836E+006                  6.1085374446667471E+000                  1.0000000000000000E+000                  5.7150504556491455E-002                 -1.5834972266199934E-001                 -4.7335354277264408E+001                 -1.5834972266199948E-001                 -2.0747726949798753E-001                 -1.1291411984741286E+000                 -4.7335354277264408E+001                  0.0000000000000000E+000                  3.7480732079977521E+000                 -1.6098044191049016E-001                 -5.3983476086251730E-002                  4.5460345794756361E+000                  1.7153748695624472E+001                  1.8906219891578657E+000                  7.1345621848234444E+000                  6.2155570422872275E-001                  6.9910293195473061E-001                  2.8066478901224068E-001                  2.4662221502196823E-003                  9.3804689439895700E-003                  2.1544988501030517E-003                  6.9999999360704923E-001                  2.7997020236474890E-001                  3.4468833607860742E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9984060965666595E-001                  2.8005502413553340E-001 
                                      20                                      806                  1.8668799962237377E+007                  6.5044436749048709E+000                  1.0000000000000000E+000                  4.0539238169295999E-002                 -1.5720265087006624E-001                 -4.7372802668839967E+001                 -1.5720265087006630E-001                 -1.9214588979787134E-001                 -1.2689782833112002E+000                 -4.7372802668839967E+001                  0.0000000000000000E+000                  3.7485648903912812E+000                 -1.5527262326528349E-001                 -5.2112931550707266E-002                  4.5422934904045471E+000                  1.7158398712403827E+001                  1.8963985745611625E+000                  7.1336156111409439E+000                  6.2189025939019615E-001                  6.9842628046954647E-001                  2.8121789948795456E-001                  1.7012611710796460E-003                  9.3803994330891836E-003                  3.0470141478042652E-003                  6.9999999356604981E-001                  2.7997020236474890E-001                  3.4468833607860733E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9974925003069599E-001                  2.8011813750566594E-001 
                                      25                                      798                  4.7198108322034501E+007                  6.9003499051429955E+000                  1.0000000000000000E+000                  1.8927191661970159E-002                 -1.4939618804670030E-001                 -4.7358549362849104E+001                 -1.4939618804670016E-001                 -1.6752628840680314E-001                 -1.5378138059502775E+000                 -4.7358549362849104E+001                  0.0000000000000000E+000                  3.7496376157499545E+000                 -1.4771045274622444E-001                 -5.0477297008523360E-002                  4.5390222213201792E+000                  1.7170276912969250E+001                  1.9090699203347639E+000                  7.1333096593358425E+000                  6.2274884897222471E-001                  6.9667106730258921E-001                  2.8278521141335433E-001                  5.3123453233327349E-004                  9.3801507580557469E-003                  4.4122628169959563E-003                  6.9999999347717357E-001                  2.7997020236474890E-001                  3.4468833607860733E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9953062671479038E-001                  2.8028942512484528E-001 
                                      30                                      792                  1.1818815689988488E+008                  7.2962561353811193E+000                  1.0000000000000000E+000                  1.7245966378902991E-003                 -1.4151702779767703E-001                 -4.7319976337927429E+001                 -1.4151702779767703E-001                 -1.5001393603576116E-001                 -1.8542819384026907E+000                 -4.7319976337927429E+001                  0.0000000000000000E+000                  3.7504345809689923E+000                 -1.4130404184602388E-001                 -4.8868021996499332E-002                  4.5358036712961312E+000                  1.7179954905414515E+001                  1.9204552089014459E+000                  7.1330946865901028E+000                  6.2502915968104622E-001                  6.9195796040528501E-001                  2.8742314206829933E-001                  2.8148220770872743E-005                  9.3790558485738820E-003                  5.0001548929487208E-003                  6.9999999327385465E-001                  2.7997020236474890E-001                  3.4468833607860733E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9899919327076820E-001                  2.8074835614435034E-001 
                                      35                                      791                  2.9483411457712144E+008                  7.6921623656192430E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -1.3444757126597504E-001                 -4.7161906989188083E+001                 -1.3444757126597509E-001                 -1.3885400948371310E-001                 -2.1303455535205567E+000                 -4.7161906989188083E+001                  0.0000000000000000E+000                  3.7510318716536903E+000                 -1.3437624730929093E-001                 -4.6598706097529773E-002                  4.5312650394981926E+000                  1.7187421995490524E+001                  1.9303355211140798E+000                  7.1349626099404393E+000                  6.3127329777528729E-001                  6.7915520193290091E-001                  3.0022888568143502E-001                  1.4908397322157014E-005                  9.3748530055508365E-003                  5.0192788412840531E-003                  6.9999999279900138E-001                  2.7997020236474890E-001                  3.4468833607860733E-003                  9.3805276451495410E-003                  1.0103427409336068E-003                  6.9769685250358360E-001                  2.8194363966536434E-001 
                                      40                                      788                  7.3438578398454285E+008                  8.0880685958573668E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -1.2115648931465096E-001                 -4.6763379134617601E+001                 -1.2115648931465084E-001                 -1.2366335939537615E-001                 -2.3610618056211039E+000                 -4.6763379134617601E+001                  0.0000000000000000E+000                  3.7521692328588001E+000                 -1.2108322545867974E-001                 -4.2226917582443346E-002                  4.5225214624680197E+000                  1.7202578298898672E+001                  1.9515391077629978E+000                  7.1399130884082913E+000                  6.4750219849062463E-001                  6.4691992474013094E-001                  3.3247107312783092E-001                  1.5282520707422117E-005                  9.3620058273586413E-003                  5.0300836449194142E-003                  6.9999999168610094E-001                  2.7997020236474890E-001                  3.4468833607860742E-003                  9.3805276451495445E-003                  1.0103427409336068E-003                  6.9444611143118251E-001                  2.8504600552641035E-001 
