                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       0                                     3794                  4.0000000000000002E-001                  2.0000000000000000E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7685102745465256E+003                  2.2874668331392754E-002                  3.5480616418942934E-001                 -8.7014015275611911E-001                  6.9908151451443856E-001                  8.5396201642617205E-004                  2.8006437981142118E-001                  3.4460214099818628E-003                  1.0113483553548450E-003                  9.3805276392589804E-003                  2.0850244238725659E-003                  4.0000000000000002E-001                  0.0000000000000000E+000                  2.7994641842999585E-001                  6.3748744277026580E-005                  1.1198982980111087E-001                  1.3787351965048212E-003                  4.0415826891708419E-004                  3.7522110579465149E-003                  8.3400976954998269E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3443659670706661E+003                  4.6425322434878743E+008                  1.7486592338960724E+011                 -1.0000000000000000E+000                 -1.0000000000000000E+000                 -1.0000000000000000E+000                  3.4109819392505469E-004                  5.0000000000000000E+001                  1.0000000000000000E+003                  0.0000000000000000E+000                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220409"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       mu 
                                       1                  4.0000000000000002E-001                 -4.5000884360299581E-001                  3.5757787623410331E+000                 -5.5190243990990684E+000                  5.7694391788677706E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0388602149648626E-001                  9.8140391384264461E-002                  1.2566510460893676E-001                  9.8140391384264461E-002                  2.2874668331392754E-002                  1.6112098516275135E+000 
                                       2                  3.9999999999989999E-001                 -4.5000899458533872E-001                  3.5760605024956371E+000                 -5.5167526121464956E+000                  5.7721469850027676E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0393246862155336E-001                  9.8225690600197146E-002                  1.2598107570733577E-001                  9.8166637296859136E-002                  2.2874668331392754E-002                  1.6106375129581159E+000 
                                       3                  3.9999999999967495E-001                 -4.5000933252585457E-001                  3.5765772213850404E+000                 -5.5125974121116821E+000                  5.7771021427533569E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0413838945475071E-001                  9.8382625719636116E-002                  1.2740783456355601E-001                  9.8284541269986758E-002                  2.2874668331392754E-002                  1.6095872861716369E+000 
                                       4                  3.9999999999930003E-001                 -4.5000989039686662E-001                  3.5773226129245232E+000                 -5.5066251790735290E+000                  5.7842286176260425E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0447106008129448E-001                  9.8610110702458217E-002                  1.2980587760874726E-001                  9.8480119283702719E-002                  2.2874668331392754E-002                  1.6080725007830929E+000 
                                       5                  3.9999999999879998E-001                 -4.5001062407060810E-001                  3.5785816634504255E+000                 -5.4966270868359350E+000                  5.7961799992488636E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0489647982998773E-001                  9.8997614288176231E-002                  1.3304613796886902E-001                  9.8739278564364208E-002                  2.2874668331392751E-002                  1.6055036328607775E+000 
                                       6                  3.9999999999780000E-001                 -4.5001205803751165E-001                  3.5799204506311226E+000                 -5.4860129989103923E+000                  5.8088658469261230E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0569435085033731E-001                  9.9413210686022144E-002                  1.3967734016894340E-001                  9.9253365917619879E-002                  2.2874668331392751E-002                  1.6027959888461836E+000 
                                       7                  3.9999999999717500E-001                 -4.5001293261857728E-001                  3.5809168646806726E+000                 -5.4781666661183976E+000                  5.8182545821779978E+000                  6.9999339221253565E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0615888795800540E-001                  9.9725303214805869E-002                  1.4389418144005203E-001                  9.9569256950414006E-002                  2.2874668331392740E-002                  1.6007821688348927E+000 
                                       8                  3.9999999999655000E-001                 -4.5001379181416085E-001                  3.5823766191868347E+000                 -5.4667857339233557E+000                  5.8318988823962465E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0659940512977979E-001                  1.0018722307779637E-001                  1.4815277975061014E-001                  9.9879276502469361E-002                  2.2874668331392737E-002                  1.5978229215394923E+000 
                                       9                  3.9999999999530000E-001                 -4.5001546500337747E-001                  3.5838182429893832E+000                 -5.4555559885864788E+000                  5.8453565522006450E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0743200015200204E-001                  1.0064776157023296E-001                  1.5691477012873695E-001                  1.0049424873942077E-001                  2.2874668331392733E-002                  1.5949329000669221E+000 
                                      10                  3.9999999999467500E-001                 -4.5001628039282748E-001                  3.5847554396055106E+000                 -5.4483204955721822E+000                  5.8540421965976739E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0782707508462507E-001                  1.0095014567449949E-001                  1.6141436566641329E-001                  1.0079895362236622E-001                  2.2874668331392733E-002                  1.5930504363828504E+000 
                                      11                  3.9999999999404995E-001                 -4.5001708231688697E-001                  3.5861379163198688E+000                 -5.4377517365196750E+000                  5.8667536933275128E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0820880653969024E-001                  1.0140073599631090E-001                  1.6598315837610725E-001                  1.0110034244843663E-001                  2.2874668331392727E-002                  1.5902645413871452E+000 
                                      12                  3.9999999999280000E-001                 -4.5001864762035904E-001                  3.5879247887367933E+000                 -5.4241227232640616E+000                  5.8831440527326171E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0893745123440664E-001                  1.0198958185158057E-001                  1.7532590611433846E-001                  1.0169515892394573E-001                  2.2874668331392713E-002                  1.5867008546212533E+000 
                                      13                  3.9999999999155000E-001                 -4.5002016458443428E-001                  3.5892251516563882E+000                 -5.4142269201596269E+000                  5.8950436128252077E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0962379956322474E-001                  1.0242271940114027E-001                  1.8490793945173103E-001                  1.0227834021795371E-001                  2.2874668331392709E-002                  1.5841334642024349E+000 
                                      14                  3.9999999999092500E-001                 -4.5002090598720329E-001                  3.5900787684905757E+000                 -5.4077882137696776E+000                  5.9027994558780783E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.0995418620213954E-001                  1.0270976144478045E-001                  1.8980050621731273E-001                  1.0256624042296036E-001                  2.2874668331392702E-002                  1.5824438597715593E+000 
                                      15                  3.9999999999029995E-001                 -4.5002163648503019E-001                  3.5913398967995800E+000                 -5.3983560845818541E+000                  5.9141797851378763E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1027810546544371E-001                  1.0313781607166946E-001                  1.9477680013552628E-001                  1.0285244632041013E-001                  2.2874668331392702E-002                  1.5799426332930078E+000 
                                      16                  3.9999999998905000E-001                 -4.5002306610391080E-001                  3.5925664915916218E+000                 -5.3891520508396304E+000                  5.9252697855784122E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1090419312877590E-001                  1.0355718593972962E-001                  2.0491467170101352E-001                  1.0341739598370957E-001                  2.2874668331392695E-002                  1.5775458969744629E+000 
                                      17                  3.9999999998842500E-001                 -4.5002376593099719E-001                  3.5933724520611676E+000                 -5.3831533805101301E+000                  5.9325089954334205E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1120735325951726E-001                  1.0383522703982356E-001                  2.1007573884245792E-001                  1.0369620648977659E-001                  2.2874668331392688E-002                  1.5759682000526332E+000 
                                      18                  3.9999999998780000E-001                 -4.5002445616345882E-001                  3.5945642815317389E+000                 -5.3743518404742883E+000                  5.9431466763866245E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1150587901987222E-001                  1.0425003263063298E-001                  2.1531938227031069E-001                  1.0397349557009337E-001                  2.2874668331392688E-002                  1.5736319298276005E+000 
                                      19                  3.9999999998655000E-001                 -4.5002580894414046E-001                  3.5961118212192935E+000                 -5.3629384346762992E+000                  5.9569370610085137E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1208743066264598E-001                  1.0479371177103167E-001                  2.2600528147399840E-001                  1.0452187220083232E-001                  2.2874668331392681E-002                  1.5706293853426700E+000 
                                      20                  3.9999999998530006E-001                 -4.5002712665267353E-001                  3.5976194052971970E+000                 -5.3518843174104589E+000                  5.9703034009637745E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1264949236445428E-001                  1.0532957057983623E-001                  2.3693830326714185E-001                  1.0506164117543396E-001                  2.2874668331392674E-002                  1.5677220113085713E+000 
                                      21                  3.9999999998405006E-001                 -4.5002841125953225E-001                  3.5987222121561446E+000                 -5.3438090241779568E+000                  5.9800651883532998E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1319437688113120E-001                  1.0572502693783299E-001                  2.4811664699793121E-001                  1.0559320815183407E-001                  2.2874668331392661E-002                  1.5656163398261991E+000 
                                      22                  3.9999999998342506E-001                 -4.5002904173632691E-001                  3.5994480374022801E+000                 -5.3385315464517840E+000                  5.9864533535931610E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1346126345084828E-001                  1.0598739634489994E-001                  2.5380298350781538E-001                  1.0585621164136647E-001                  2.2874668331392657E-002                  1.5642294878141905E+000 
                                      23                  3.9999999998280006E-001                 -4.5002966460245480E-001                  3.6005230995312432E+000                 -5.3307678767004942E+000                  5.9958629708366269E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1372550680212010E-001                  1.0637908207614288E-001                  2.5956926864014823E-001                  1.0611795825531425E-001                  2.2874668331392657E-002                  1.5621745920730028E+000 
                                      24                  3.9999999998155006E-001                 -4.5003088827236076E-001                  3.6019231908093343E+000                 -5.3206676681953988E+000                  6.0081004927090582E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1424439696550701E-001                  1.0689342617348159E-001                  2.7129458048843591E-001                  1.0663625412481223E-001                  2.2874668331392647E-002                  1.5595250389773279E+000 
                                      25                  3.9999999998030011E-001                 -4.5003208382591547E-001                  3.6032910740247126E+000                 -5.3108500702356389E+000                  6.0200030000448663E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1475081699055771E-001                  1.0740124561145244E-001                  2.8326142939830878E-001                  1.0714733589246701E-001                  2.2874668331392643E-002                  1.5569524692273178E+000 
                                      26                  3.9999999997905006E-001                 -4.5003325266927957E-001                  3.6046283433441064E+000                 -5.3012998814028842E+000                  6.0315883524742739E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1524668928082245E-001                  1.0790284986522668E-001                  2.9548604034795584E-001                  1.0765204773833956E-001                  2.2874668331392633E-002                  1.5544526985644431E+000 
                                      27                  3.9999999997780011E-001                 -4.5003439610250545E-001                  3.6060890864684674E+000                 -5.2909184074769691E+000                  6.0441891408192303E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1573134957408379E-001                  1.0845662266796047E-001                  3.0793616964004772E-001                  1.0814897111088612E-001                  2.2874668331392629E-002                  1.5517402227734702E+000 
                                      28                  3.9999999997623764E-001                 -4.5003579147108347E-001                  3.6076917923241272E+000                 -5.2796141176491069E+000                  6.0579262304597794E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1632726348556366E-001                  1.0907182042811675E-001                  3.2390982461918066E-001                  1.0876422154803861E-001                  2.2874668331392619E-002                  1.5487778347401311E+000 
                                      29                  3.9999999997467517E-001                 -4.5003715118088539E-001                  3.6092432198113049E+000                 -5.2687164141699183E+000                  6.0711729869987092E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.1691301295940021E-001                  1.0967429246514390E-001                  3.4033291701924573E-001                  1.0937305644663033E-001                  2.2874668331392605E-002                  1.5459417220167762E+000 
                                      30                  3.9999999997311270E-001                 -4.5003847721344525E-001                  3.6103885191516829E+000                 -5.2607023423293224E+000                  6.0809176719202283E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1748755087840447E-001                  1.1012353579258283E-001                  3.5715986543107664E-001                  1.0997378801676987E-001                  2.2874668331392595E-002                  1.5438715174004647E+000 
                                      31                  3.9999999997233149E-001                 -4.5003912810232760E-001                  3.6111356546920348E+000                 -5.2554988320448812E+000                  6.0872494581563865E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1777098430943192E-001                  1.1041887358587330E-001                  3.6572732022427584E-001                  1.1027120468922806E-001                  2.2874668331392588E-002                  1.5425300457673961E+000 
                                      32                  3.9999999997155017E-001                 -4.5003977141435170E-001                  3.6122328857294339E+000                 -5.2478899431118400E+000                  6.0965141161858263E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1805003267293546E-001                  1.1085585554473915E-001                  3.7435600486793158E-001                  1.1056453423882856E-001                  2.2874668331392581E-002                  1.5405755109622881E+000 
                                      33                  3.9999999996998770E-001                 -4.5004103538994261E-001                  3.6136655684927730E+000                 -5.2379728807660939E+000                  6.1085873245042910E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1859933550986819E-001                  1.1143150011305808E-001                  3.9186959763917478E-001                  1.1114367782889861E-001                  2.2874668331392577E-002                  1.5380681699674423E+000 
                                      34                  3.9999999996842522E-001                 -4.5004227070944131E-001                  3.6150849899554092E+000                 -5.2282364115403510E+000                  6.1204595117824114E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1914446129713765E-001                  1.1200895936568209E-001                  4.0989204015931202E-001                  1.1172022973937007E-001                  2.2874668331392567E-002                  1.5356165546554992E+000 
                                      35                  3.9999999996686275E-001                 -4.5004347878991685E-001                  3.6164637618100057E+000                 -5.2188099206312639E+000                  6.1319552728419753E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.1968405656456815E-001                  1.1257568065296389E-001                  4.2838434567988409E-001                  1.1229232000932299E-001                  2.2874668331392553E-002                  1.5332882491270219E+000 
                                      36                  3.9999999996530028E-001                 -4.5004466094533557E-001                  3.6178130766156538E+000                 -5.2096316846344060E+000                  6.1431549696853338E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.2021446966478526E-001                  1.1313626705906545E-001                  4.4724091134996929E-001                  1.1285597385601467E-001                  2.2874668331392543E-002                  1.5310589886362209E+000 
                                      37                  3.9999999996373781E-001                 -4.5004581839314489E-001                  3.6191252650254313E+000                 -5.2007320895898950E+000                  6.1540152949968121E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.2073625728372597E-001                  1.1368675996459400E-001                  4.6645799433725138E-001                  1.1341151351182972E-001                  2.2874668331392536E-002                  1.5289477805467799E+000 
                                      38                  3.9999999996217533E-001                 -4.5004695226554065E-001                  3.6204288735280619E+000                 -5.1919703972368829E+000                  6.1647245669695572E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.2125409825571506E-001                  1.1424016551240899E-001                  4.8615509182472938E-001                  1.1396346273850150E-001                  2.2874668331392525E-002                  1.5268906988608493E+000 
                                      39                  3.9999999996061281E-001                 -4.5004806361393301E-001                  3.6216978904216464E+000                 -5.1834648166097885E+000                  6.1751210684607099E+000                  6.9999339221253543E-001                  2.8000660778743108E-001                  2.0000000000033546E-002                  1.2176840316479032E-001                  1.1478399731810300E-001                  5.0633513041357370E-001                  1.1451208141525601E-001                  2.2874668331392515E-002                  1.5249475355735849E+000 
                                      40                  3.9999999995905033E-001                 -4.5004915342041779E-001                  3.6229599155399721E+000                 -5.1750835006440257E+000                  6.1853827563254367E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.2227954496171765E-001                  1.1533120272387574E-001                  5.2700748466339742E-001                  1.1505760002098939E-001                  2.2874668331392504E-002                  1.5230563822204446E+000 
                                      41                  3.9999999995748786E-001                 -4.5005022237885245E-001                  3.6241723431691257E+000                 -5.1670161452008250E+000                  6.1952488373870249E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.2278366246617978E-001                  1.1586082519931187E-001                  5.4804453818640519E-001                  1.1559601396159380E-001                  2.2874668331392498E-002                  1.5213115831714596E+000 
                                      42                  3.9999999995592539E-001                 -4.5005127201614847E-001                  3.6253628901232404E+000                 -5.1591301646714101E+000                  6.2048980880337723E+000                  6.9999339221253554E-001                  2.8000660778743108E-001                  2.0000000000033324E-002                  1.2327692047706126E-001                  1.1638588894125236E-001                  5.6931855647737140E-001                  1.1612335707028210E-001                  2.2874668331392487E-002                  1.5196509934506497E+000 
                                      43                  3.9999999995436292E-001                 -4.5005230247189892E-001                  3.6265321477041388E+000                 -5.1514207229701645E+000                  6.2143364632157425E+000                  6.9999339221253554E-001                  2.8000660778743114E-001                  2.0000000000033324E-002                  1.2376586696253983E-001                  1.1690646277846474E-001                  5.9101575647273241E-001                  1.1664617585985856E-001                  2.2874668331392477E-002                  1.5180720590888870E+000 
                                      44                  3.9999999995280044E-001                 -4.5005331472169147E-001                  3.6282585433806886E+000                 -5.1401650642063839E+000                  6.2281451211979739E+000                  6.9999339221253554E-001                  2.8000660778743114E-001                  2.0000000000033324E-002                  1.2425245515524219E-001                  1.1768572821557564E-001                  6.1320249710241415E-001                  1.1716621792416834E-001                  2.2874668331392470E-002                  1.5158133040285731E+000 
