                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      50                                      755                  4.6999999999999997E-001                  2.0000000000000000E-002                  4.5497190750010710E+009                  7.5836984583351159E+008                  3.8163324460834856E+003                  3.4728531294436524E-002                  4.2628884662960442E-001                 -1.0777867307594555E+000                  6.6634027379101968E-001                  9.4008951425778042E-004                  3.1269634614760666E-001                  3.3071635767750072E-003                  1.1733217404674330E-003                  9.3805589767446563E-003                  2.0850244238743961E-003                  4.6999999999999997E-001                  0.0000000000000000E+000                  3.2694095682290136E-001                  8.2757640672208017E-004                  1.3283116363564193E-001                  1.6182166263001604E-003                  4.7698243605699404E-004                  4.4088483334061464E-003                  9.7996147922124592E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0631614778563444E+003                  3.5138744257810616E+008                  1.3533540938291667E+011                  3.4735846981859692E-002                  3.4735846981859692E-002                  3.4055639822459361E-059                  7.8372918032899505E-004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4357821468125379E+017                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       mu 
                                       1                  4.6999999999999997E-001                 -3.7029603003310185E-001                  3.5819152295962544E+000                 -5.6797840262801778E+000                  5.6374111778038021E+000                  6.9995645678936069E-001                  2.8004354321060804E-001                  2.0000000000031326E-002                  1.1030623286132624E-001                  1.0313220582446531E-001                  1.2539470954005602E-001                  1.0313220582446531E-001                  3.4728531294436524E-002                  1.5295239533860612E+000 
                                       2                  4.6999999999961811E-001                 -3.7029651132484859E-001                  3.5824923847642491E+000                 -5.6754467924394847E+000                  5.6426311717987101E+000                  6.9995645678936069E-001                  2.8004354321060804E-001                  2.0000000000031326E-002                  1.1052534951363233E-001                  1.0335810153074687E-001                  1.2637645279211535E-001                  1.0323708597381032E-001                  3.4728531294436538E-002                  1.5284479497887686E+000 
                                       3                  4.6999999999917752E-001                 -3.7029706114497302E-001                  3.5832077642549911E+000                 -5.6701036829596800E+000                  5.6490691848067964E+000                  6.9995645678936058E-001                  2.8004354321060804E-001                  2.0000000000031326E-002                  1.1101546910383711E-001                  1.0364004425859016E-001                  1.2865601953818670E-001                  1.0347893412839398E-001                  3.4728531294436538E-002                  1.5271127575901899E+000 
                                       4                  4.6999999999858999E-001                 -3.7029778527769242E-001                  3.5844200519544769E+000                 -5.6611424607175413E+000                  5.6598885556376102E+000                  6.9995645678936058E-001                  2.8004354321060804E-001                  2.0000000000031326E-002                  1.1164032110075843E-001                  1.0412305649495468E-001                  1.3173770976617857E-001                  1.0380104833737833E-001                  3.4728531294436545E-002                  1.5248433096363319E+000 
                                       5                  4.6999999999741499E-001                 -3.7029920397635446E-001                  3.5857052495307355E+000                 -5.6516838042483117E+000                  5.6713132986167656E+000                  6.9995645678936058E-001                  2.8004354321060804E-001                  2.0000000000031326E-002                  1.1280181490978916E-001                  1.0464062714415445E-001                  1.3802014140177291E-001                  1.0444156150984685E-001                  3.4728531294436538E-002                  1.5224545123011057E+000 
                                       6                  4.6999999999668068E-001                 -3.7030007156717543E-001                  3.5866797961459294E+000                 -5.6445879370823402E+000                  5.6799015648357436E+000                  6.9995645678936058E-001                  2.8004354321060809E-001                  2.0000000000031326E-002                  1.1347784756104695E-001                  1.0503797960524323E-001                  1.4202767351597734E-001                  1.0483930337469885E-001                  3.4728531294436538E-002                  1.5206402664274470E+000 
                                       7                  4.6999999999594627E-001                 -3.7030092510282175E-001                  3.5881206569946240E+000                 -5.6342252485156923E+000                  5.6924737810764947E+000                  6.9995645678936069E-001                  2.8004354321060809E-001                  2.0000000000031215E-002                  1.1412480379652701E-001                  1.0563356586370301E-001                  1.4611499732333294E-001                  1.0523650835806317E-001                  3.4728531294436545E-002                  1.5179513838135992E+000 
                                       8                  4.6999999999447750E-001                 -3.7030259193836090E-001                  3.5899908239836655E+000                 -5.6208706076260446E+000                  5.7086901233393208E+000                  6.9995645678936069E-001                  2.8004354321060809E-001                  2.0000000000031215E-002                  1.1533928870523699E-001                  1.0641837494456634E-001                  1.5449073576522021E-001                  1.0602597040413468E-001                  3.4728531294436538E-002                  1.5144900267889716E+000 
                                       9                  4.6999999999300879E-001                 -3.7030420831674898E-001                  3.5927187961796787E+000                 -5.6018080544449971E+000                  5.7319332365726190E+000                  6.9995645678936058E-001                  2.8004354321060809E-001                  2.0000000000031326E-002                  1.1646956617666712E-001                  1.0759310271403666E-001                  1.6315020284931259E-001                  1.0680995086772310E-001                  3.4728531294436545E-002                  1.5094335444544711E+000 
