                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       1                                     3815                  7.2999999999999998E-001                  2.0000000000000000E-002                  1.0000000000000000E+005                  1.0000000000000000E+005                  4.5666493664301988E+003                  1.7360379201049353E-001                  6.6563696252796034E-001                 -1.4220884255509885E+000                  6.9953937062469240E-001                  2.8044249426758037E-004                  2.8017494258133074E-001                  3.4154169409765468E-003                  1.0470542907538855E-003                  9.3805268146298377E-003                  2.0850244238747287E-003                  7.3000000000000009E-001                  0.0000000000000000E+000                  5.1092964569711752E-001                  7.1814594698595775E-005                  2.0439803329477121E-001                  2.5131863134572716E-003                  7.4109523361197709E-004                  6.8477851015373908E-003                  1.5220678294287492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3613863335065589E+003                  1.0860004148049869E+008                  4.2049772735141350E+010                  1.9065637112378259E-001                  1.9065637112378242E-001                  1.7357067076112074E-052                  4.7360508970944971E-003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1557600000000000E+012                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220413"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       pp                                      cno                                     grav                                 brunt_N2                                       mu 
                                       1                  7.3000000000000009E-001                 -1.7676256986603348E-001                  3.6597554110590376E+000                 -6.4405326739991828E+000                  5.0205793339586631E+000                  6.9999996537905518E-001                  2.8000003462094497E-001                  1.9999999999999796E-002                  1.2518232999518722E-001                  3.1641597073632888E-001                  1.2518232999518722E-001                  3.1641597073632888E-001                  1.7360379201049353E-001                  5.3235078165048207E-026                  0.0000000000000000E+000                  4.5176816829263204E+004                  1.4457101889960723E-003                  1.3136596069421156E+000 
                                       2                  7.2999999999981757E-001                 -1.7676291812164396E-001                  3.6601998777009594E+000                 -6.4374591138775363E+000                  5.0241083924540986E+000                  6.9999996519110996E-001                  2.8000003480889013E-001                  1.9999999999999907E-002                  1.2581627490803435E-001                  3.1681417266440265E-001                  1.2581627490803435E-001                  3.1655755364408844E-001                  1.7360379201042814E-001                  5.3613385393692323E-026                  0.0000000000000000E+000                  4.5176889282820615E+004                  1.4412793059601456E-003                  1.3136261891083147E+000 
                                       3                  7.2999999999948673E-001                 -1.7676354488563900E-001                  3.6607772776197574E+000                 -6.4335444889025490E+000                  5.0286150879301141E+000                  6.9999996501024753E-001                  2.8000003498975268E-001                  1.9999999999999796E-002                  1.2812159556007366E-001                  3.1733880221690886E-001                  1.2812159556007366E-001                  3.1707648744065575E-001                  1.7360379201042908E-001                  5.4099110755845932E-026                  0.0000000000000000E+000                  4.5177019679522426E+004                  1.4252131913930688E-003                  1.3135817531792595E+000 
                                       4                  7.2999999999915599E-001                 -1.7676416602819739E-001                  3.6616497070901963E+000                 -6.4277660289825764E+000                  5.0352886774420398E+000                  6.9999996466917724E-001                  2.8000003533082296E-001                  1.9999999999999796E-002                  1.3044006203495531E-001                  3.1814283127937604E-001                  1.3044006203495531E-001                  3.1760681190439788E-001                  1.7360379201043005E-001                  5.4824156174353316E-026                  0.0000000000000000E+000                  4.5177148907069364E+004                  1.4091556071213662E-003                  1.3135130052228667E+000 
                                       5                  7.2999999999849441E-001                 -1.7676539190151755E-001                  3.6636638132161363E+000                 -6.4150180866069491E+000                  5.0501052737813970E+000                  6.9999996406724030E-001                  2.8000003593275985E-001                  1.9999999999999796E-002                  1.3511819472301784E-001                  3.2004508534444254E-001                  1.3511819472301784E-001                  3.1870005721762784E-001                  1.7360379201043186E-001                  5.6458249836968841E-026                  0.0000000000000000E+000                  4.5177403948803796E+004                  1.3770526521864649E-003                  1.3133478448497757E+000 
                                       6                  7.2999999999689758E-001                 -1.7676826535282222E-001                  3.6660884279196724E+000                 -6.4009127638106582E+000                  5.0667053048043069E+000                  6.9999996374099549E-001                  2.8000003625900471E-001                  1.9999999999999796E-002                  1.4659613072749331E-001                  3.2243456391999786E-001                  1.4659613072749331E-001                  3.2149955056434582E-001                  1.7360379201043641E-001                  5.8323177382109663E-026                  0.0000000000000000E+000                  4.5178001773151911E+004                  1.2998339711390852E-003                  1.3131356973050912E+000 
                                       7                  7.2999999999587095E-001                 -1.7677005356885969E-001                  3.6680242957724394E+000                 -6.3903433289473046E+000                  5.0792682232989428E+000                  6.9999996338118187E-001                  2.8000003661881834E-001                  1.9999999999999796E-002                  1.5410429016040331E-001                  3.2437969678395390E-001                  1.5410429016040331E-001                  3.2340713035197588E-001                  1.7360379201043941E-001                  5.9760885777899711E-026                  0.0000000000000000E+000                  4.5178373817235042E+004                  1.2504365205267900E-003                  1.3129613677143357E+000 
                                       8                  7.2999999999484455E-001                 -1.7677179881164179E-001                  3.6698345191601849E+000                 -6.3810031023232154E+000                  5.0904736369111117E+000                  6.9999996294495626E-001                  2.8000003705504400E-001                  1.9999999999999796E-002                  1.6171655400257864E-001                  3.2622398325490215E-001                  1.6171655400257864E-001                  3.2538567122265294E-001                  1.7360379201044226E-001                  6.1060869808030324E-026                  0.0000000000000000E+000                  4.5178736923547265E+004                  1.2011742018964908E-003                  1.3127951054257556E+000 
                                       9                  7.2999999999398901E-001                 -1.7677322225153008E-001                  3.6715060410126799E+000                 -6.3727839751571107E+000                  5.1004155463389740E+000                  6.9999996276620591E-001                  2.8000003723379430E-001                  1.9999999999999796E-002                  1.6813599006768121E-001                  3.2793896647216625E-001                  1.6813599006768121E-001                  3.2708147486353423E-001                  1.7360379201044474E-001                  6.2228195930246082E-026                  0.0000000000000000E+000                  4.5179033079350302E+004                  1.1602254678970661E-003                  1.3126400795965143E+000 
                                      10                  7.2999999999313370E-001                 -1.7677461901939201E-001                  3.6740495164371532E+000                 -6.3609067147308167E+000                  5.1149144628809653E+000                  6.9999996111652818E-001                  2.8000003888347197E-001                  1.9999999999999796E-002                  1.7463536612643973E-001                  3.3055226472297222E-001                  1.7463536612643973E-001                  3.2881006588910161E-001                  1.7360379201044726E-001                  6.3954619503780368E-026                  0.0000000000000000E+000                  4.5179323687753254E+004                  1.1192547465991485E-003                  1.3124036982427718E+000 
                                      11                  7.2999999999142262E-001                 -1.7677733723024469E-001                  3.6769639223935973E+000                 -6.3483491370184533E+000                  5.1304766381067868E+000                  6.9999995148511873E-001                  2.8000004851488142E-001                  1.9999999999999796E-002                  1.8783932116425939E-001                  3.3355874576237127E-001                  1.8783932116425939E-001                  3.3235615334661167E-001                  1.7360379201045215E-001                  6.5832064273492419E-026                  0.0000000000000000E+000                  4.5179889237990370E+004                  1.0374568369501658E-003                  1.3121310908555281E+000 
                                      12                  7.2999999999028198E-001                 -1.7677909775048722E-001                  3.6793370574277513E+000                 -6.3387345169111633E+000                  5.1425371369919812E+000                  6.9999995140683091E-001                  2.8000004859316935E-001                  1.9999999999999796E-002                  1.9678138202611184E-001                  3.3598428261601071E-001                  1.9678138202611184E-001                  3.3477151418919099E-001                  1.7360379201045542E-001                  6.7306698353392511E-026                  0.0000000000000000E+000                  4.5180255535145785E+004                  9.8306737906995664E-004                  1.3119112784161573E+000 
                                      13                  7.2999999998914145E-001                 -1.7678081974445878E-001                  3.6817522811943508E+000                 -6.3294881830521197E+000                  5.1542719253358609E+000                  6.9999995133058013E-001                  2.8000004866942002E-001                  1.9999999999999796E-002                  2.0582940356517582E-001                  3.3842428748250580E-001                  2.0582940356517582E-001                  3.3720428504925826E-001                  1.7360379201045878E-001                  6.8756006232478068E-026                  0.0000000000000000E+000                  4.5180613819324193E+004                  9.2872976126812004E-004                  1.3116900415554706E+000 
                                      14                  7.2999999998800080E-001                 -1.7678250548373237E-001                  3.6842080814978240E+000                 -6.3205910766434323E+000                  5.1656981350411479E+000                  6.9999995127338810E-001                  2.8000004872661216E-001                  1.9999999999999796E-002                  2.1493876632278622E-001                  3.4086667630546408E-001                  2.1493876632278622E-001                  3.3964548189398491E-001                  1.7360379201046211E-001                  7.0180038601251866E-026                  0.0000000000000000E+000                  4.5180964562972091E+004                  8.7471930474722337E-004                  1.3114686324533629E+000 
                                      15                  7.2999999998686016E-001                 -1.7678415705874462E-001                  3.6879446141901875E+000                 -6.3078409723036275E+000                  5.1822930712593189E+000                  6.9999995069200005E-001                  2.8000004930800010E-001                  1.9999999999999796E-002                  2.2407439263220089E-001                  3.4448388005078329E-001                  2.2407439263220089E-001                  3.4207241088723717E-001                  1.7360379201046561E-001                  7.2272353941112734E-026                  0.0000000000000000E+000                  4.5181308200865969E+004                  8.2116964790984249E-004                  1.3111416048177753E+000 
                                      16                  7.2999999998457887E-001                 -1.7678736469773892E-001                  3.6917975621813466E+000                 -6.2958173035715399E+000                  5.1982776273450231E+000                  6.9999995004601490E-001                  2.8000004995398531E-001                  1.9999999999999796E-002                  2.4218805420616074E-001                  3.4809632682972713E-001                  2.4218805420616074E-001                  3.4689217790341254E-001                  1.7360379201047291E-001                  7.4302596759441612E-026                  0.0000000000000000E+000                  4.5181975611444643E+004                  7.1711932125758076E-004                  1.3108157770447237E+000 
                                      17                  7.2999999998343823E-001                 -1.7678892474936936E-001                  3.6943931492679596E+000                 -6.2881438726336558E+000                  5.2086163804558092E+000                  6.9999994985559411E-001                  2.8000005014440610E-001                  1.9999999999999796E-002                  2.5106527953172747E-001                  3.5043901209863165E-001                  2.5106527953172747E-001                  3.4926766946417942E-001                  1.7360379201047640E-001                  7.5628008767746339E-026                  0.0000000000000000E+000                  4.5182300213554612E+004                  6.6719156034578098E-004                  1.3106053309841910E+000 
                                      18                  7.2999999998229759E-001                 -1.7679045749532707E-001                  3.6970159622859065E+000                 -6.2807362992602531E+000                  5.2187148636817984E+000                  6.9999994909469265E-001                  2.8000005090530766E-001                  1.9999999999999685E-002                  2.5973437418889711E-001                  3.5273114548164564E-001                  2.5973437418889711E-001                  3.5158507879013867E-001                  1.7360379201048010E-001                  7.6929931131974157E-026                  0.0000000000000000E+000                  4.5182619136405265E+004                  6.1903873144930112E-004                  1.3103998729322897E+000 
