                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       0                                     3832                  1.0000000000000000E+000                  2.0000000000000000E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6205388178006924E+003                  7.1027635467382932E-001                  8.8881410142634942E-001                 -1.7796880130356292E+000                  6.9950360872635797E-001                  7.5590880405729859E-005                  2.8034606869245465E-001                  2.9984755666050103E-003                  1.5335056909495934E-003                  9.3805041897408441E-003                  2.0850244238743072E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9990186909295349E-001                  7.0614010391831125E-005                  2.8001871301546138E-001                  3.3940580443725873E-003                  1.0719746444587878E-003                  9.3805249391944422E-003                  2.0850244238749646E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3863592162903642E+003                  3.7302901617619149E+007                  1.4079027035318056E+010                 -1.0000000000000000E+000                 -1.0000000000000000E+000                 -1.0000000000000000E+000                  4.7304765013418009E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  0.0000000000000000E+000                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220410"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       mu 
                                       1                  1.0000000000000000E+000                 -5.1189063739703507E-002                  3.7500551953938692E+000                 -6.7056832622382503E+000                  4.8481672345733609E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.2532139067256351E-001                  3.9046183415682162E-001                  1.2532139067256351E-001                  3.9046183415682162E-001                  7.1027635467382932E-001                  1.3063362422509432E+000 
                                       2                  9.9999999999949996E-001                 -5.1189801769396998E-002                  3.7510287796998409E+000                 -6.6989829614452336E+000                  4.8558425969162808E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  1.2642878700567847E-001                  3.9038520341367627E-001                  1.2642878700567847E-001                  3.9043993965878010E-001                  7.1027635467382921E-001                  1.3063313948265303E+000 
                                       3                  9.9999999999824996E-001                 -5.1191618453649626E-002                  3.7524461141632433E+000                 -6.6896687179432339E+000                  4.8665765535350252E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  1.3204873152233246E-001                  3.9026983566792012E-001                  1.3204873152233246E-001                  3.9032751954079825E-001                  7.1027635467382921E-001                  1.3063237040601343E+000 
                                       4                  9.9999999999699996E-001                 -5.1193396612689776E-002                  3.7538899570663555E+000                 -6.6806400113067941E+000                  4.8770517671910349E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.3784077534620240E-001                  3.9014690750082237E-001                  1.3784077534620240E-001                  3.9020837158437127E-001                  7.1027635467382910E-001                  1.3063151984050396E+000 
                                       5                  9.9999999999574996E-001                 -5.1195138207706471E-002                  3.7553610341678305E+000                 -6.6718853848492623E+000                  4.8872804193169399E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.4382576304669775E-001                  3.9001545168877849E-001                  1.4382576304669775E-001                  3.9008117959480043E-001                  7.1027635467382888E-001                  1.3063058786123434E+000 
                                       6                  9.9999999999449996E-001                 -5.1196845029886306E-002                  3.7570471870883666E+000                 -6.6623488028039937E+000                  4.8985067992646227E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.5002052827468629E-001                  3.8985630751081951E-001                  1.5002052827468629E-001                  3.8994472094301896E-001                  7.1027635467382877E-001                  1.3062944538405972E+000 
                                       7                  9.9999999999293754E-001                 -5.1198932291280329E-002                  3.7589665198985256E+000                 -6.6521295892571208E+000                  4.9106498348218484E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.5944051416887095E-001                  3.8966330536596722E-001                  1.5944051416887095E-001                  3.8972763941425126E-001                  7.1027635467382866E-001                  1.3062804950715921E+000 
                                       8                  9.9999999999215616E-001                 -5.1199951683693623E-002                  3.7599497632005674E+000                 -6.6472087283077785E+000                  4.9165564034629208E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.6429425414024898E-001                  3.8955931862072651E-001                  1.6429425414024898E-001                  3.8961131199334686E-001                  7.1027635467382844E-001                  1.3062728819468021E+000 
                                       9                  9.9999999999137490E-001                 -5.1200971040537904E-002                  3.7609329705325987E+000                 -6.6422880365303216E+000                  4.9224627800450120E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.6786196682810273E-001                  3.8945138241511346E-001                  1.6786196682810273E-001                  3.8952333988552218E-001                  7.1027635467382833E-001                  1.3062652302454150E+000 
                                      10                  9.9999999998981237E-001                 -5.1202964136965713E-002                  3.7629485129579994E+000                 -6.6328086538348643E+000                  4.9339631079996611E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.7526948848973459E-001                  3.8921799838172089E-001                  1.7526948848973459E-001                  3.8933469039841717E-001                  7.1027635467382833E-001                  1.3062486318323012E+000 
                                      11                  9.9999999998824973E-001                 -5.1204914227809067E-002                  3.7650152777977071E+000                 -6.6236774614617868E+000                  4.9451669400924292E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.8447934236789607E-001                  3.8896017985488934E-001                  1.8447934236789607E-001                  3.8908908911830509E-001                  7.1027635467382799E-001                  1.3062306643893438E+000 
                                      12                  9.9999999998668732E-001                 -5.1206823770800942E-002                  3.7671355508250972E+000                 -6.6148818542830927E+000                  4.9560891819881752E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.9413419014043973E-001                  3.8867473067890718E-001                  1.9413419014043973E-001                  3.8881745526689826E-001                  7.1027635467382788E-001                  1.3062112817483451E+000 
                                      13                  9.9999999998512479E-001                 -5.1208695053941627E-002                  3.7693117685949371E+000                 -6.6064104786098614E+000                  4.9667436428612133E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.0426396088403975E-001                  3.8835822006509824E-001                  2.0426396088403975E-001                  3.8851647537200268E-001                  7.1027635467382777E-001                  1.3061904255418990E+000 
                                      14                  9.9999999998356226E-001                 -5.1210530212901721E-002                  3.7715464894757198E+000                 -6.5982531877379795E+000                  4.9771430513134627E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.1671429519980295E-001                  3.8800695981904626E-001                  2.1671429519980295E-001                  3.8812404656773025E-001                  7.1027635467382755E-001                  1.3061680238749183E+000 
                                      15                  9.9999999998278111E-001                 -5.1211430745420478E-002                  3.7732667428952134E+000                 -6.5924058225600550E+000                  4.9847166335531305E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.2458306241071679E-001                  3.8771733544255399E-001                  2.2458306241071679E-001                  3.8786214763080012E-001                  7.1027635467382744E-001                  1.3061500089286975E+000 
                                      16                  9.9999999998199973E-001                 -5.1212331339933935E-002                  3.7749870607950395E+000                 -6.5865582633121695E+000                  4.9922905505863646E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  2.3177842241867230E-001                  3.8741154156996949E-001                  2.3177842241867230E-001                  3.8761540415169249E-001                  7.1027635467382721E-001                  1.3061317638843475E+000 
                                      17                  9.9999999998043709E-001                 -5.1214084585847093E-002                  3.7768105468227371E+000                 -6.5810700183033966E+000                  4.9996090840230210E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002                  2.4228309938481732E-001                  3.8706650590910496E-001                  2.4228309938481732E-001                  3.8723902373953722E-001                  7.1027635467382710E-001                  1.3061112878888625E+000 
                                      18                  9.9999999997887468E-001                 -5.1215837798144530E-002                  3.7786340361716091E+000                 -6.5755817916635380E+000                  5.0069277038317201E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002                  2.5167008101046517E-001                  3.8670220794953997E-001                  2.5167008101046517E-001                  3.8688435692932244E-001                  7.1027635467382677E-001                  1.3060905057073062E+000 
                                      19                  9.9999999997731215E-001                 -5.1217547286888862E-002                  3.7811315108976178E+000                 -6.5685981265843738E+000                  5.0164187120288188E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  2.6537279183564860E-001                  3.8616857415331390E-001                  2.6537279183564860E-001                  3.8634645208538920E-001                  7.1027635467382666E-001                  1.3060608496907085E+000 
                                      20                  9.9999999997653088E-001                 -5.1218388422029193E-002                  3.7824173489543944E+000                 -6.5652451038198869E+000                  5.0210628482407795E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  2.7328296705119320E-001                  3.8587748970882974E-001                  2.7328296705119320E-001                  3.8602303193107179E-001                  7.1027635467382666E-001                  1.3060450182194474E+000 
                                      21                  9.9999999997574962E-001                 -5.1219229525777211E-002                  3.7837031452937229E+000                 -6.5618922152933186E+000                  5.0257068756369110E+000                  6.9999999999966045E-001                  2.8000000000033964E-001                  1.9999999999999907E-002                  2.7914411316652327E-001                  3.8557599438355672E-001                  2.7914411316652327E-001                  3.8577699126707204E-001                  7.1027635467382655E-001                  1.3060289841486064E+000 
                                      22                  9.9999999997418709E-001                 -5.1220886007943334E-002                  3.7863532768739385E+000                 -6.5554599826286548E+000                  5.0348006848558917E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  2.9143123965803452E-001                  3.8491707380052897E-001                  2.9143123965803452E-001                  3.8524653409204285E-001                  7.1027635467382633E-001                  1.3059946765030306E+000 
                                      23                  9.9999999997262468E-001                 -5.1222518155669909E-002                  3.7890868685865522E+000                 -6.5492985254308858E+000                  5.0437081077782580E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  3.0423761362877288E-001                  3.8418338348142439E-001                  3.0423761362877288E-001                  3.8467251036082750E-001                  7.1027635467382622E-001                  1.3059576208281729E+000 
                                      24                  9.9999999996949973E-001                 -5.1225714806557000E-002                  3.7962821388659624E+000                 -6.5350284162946988E+000                  5.0652090162079331E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  3.4499700815600826E-001                  3.8197127206187764E-001                  3.4499700815600826E-001                  3.8270864253505987E-001                  7.1027635467382577E-001                  1.3058513603709987E+000 
                                      25                  9.9999999996793709E-001                 -5.1227272035587093E-002                  3.7986381905801183E+000                 -6.5311933469726080E+000                  5.0714129191410242E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  3.6998345061466503E-001                  3.8114847856676953E-001                  3.6998345061466503E-001                  3.8142274306513890E-001                  7.1027635467382566E-001                  1.3058131908569865E+000 
                                      26                  9.9999999996715572E-001                 -5.1228050650102136E-002                  3.7998162164371965E+000                 -6.5292758123115622E+000                  5.0745150371689220E+000                  6.9999999361798837E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  3.7907200834961419E-001                  3.8071979948915635E-001                  3.7907200834961419E-001                  3.8093413902796291E-001                  7.1027635467382544E-001                  1.3057936044333427E+000 
                                      27                  9.9999999996637456E-001                 -5.1228829235380309E-002                  3.8009942480958658E+000                 -6.5273582944857811E+000                  5.0776172612767896E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  3.8581343803521950E-001                  3.8027942910218832E-001                  3.8581344897485575E-001                  3.8057300936016702E-001                  7.1027635467382533E-001                  1.3057736652589329E+000 
                                      28                  9.9999999996481193E-001                 -5.1230359200225228E-002                  3.8042495223463009E+000                 -6.5225534283408431E+000                  5.0856967186103974E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  4.0291725592978378E-001                  3.7899218172245752E-001                  4.0291847627406480E-001                  3.7963580541232289E-001                  7.1027635467382499E-001                  1.3057159887117535E+000 
                                      29                  9.9999999996324951E-001                 -5.1231872347330273E-002                  3.8076350256482741E+000                 -6.5180283661894958E+000                  5.0936287192716163E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  4.2270036567239294E-001                  3.7754367312284004E-001                  4.2271122019874086E-001                  3.7850934552258508E-001                  7.1027635467382488E-001                  1.3056520018046645E+000 
