                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      69                                      789                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.5578128323719158E+009                  1.1950685880181029E+008                  5.7635183346996582E+003                  9.9834198703784804E-001                  1.0021147880731647E+000                 -1.5244745498963985E+000                  3.4692873689402426E-001                  7.9942323224779618E-006                  6.3256670188062569E-001                  2.1459377390642061E-005                  5.5270297509430353E-003                  8.7858316115635385E-003                  2.0850244238750518E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6211033147843190E-001                  7.4622327049593225E-004                  3.1699596153289000E-001                  2.5557515229818720E-003                  2.0572643351924355E-003                  9.3722216068774962E-003                  2.0850244238750371E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0039989598822493E+004                  2.3538788174223792E+007                  1.0016607665345934E+010                  9.9821473553804685E-001                  9.9821473553804752E-001                  1.1708845874932074E-043                  2.4207405916461984E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4383363423885997E+017                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       pp                                      cno                                       mu 
                                       1                  1.0000000000000000E+000                  9.1747100377700388E-004                  3.7608980299149644E+000                 -6.8052864038424818E+000                  4.7594965160301594E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.2524532444037620E-001                  3.8926007765953535E-001                  1.2524532444037620E-001                  3.8926007765953535E-001                  9.9834198703784804E-001                  2.2975884088576750E-026                  0.0000000000000000E+000                  1.3060832640095199E+000 
                                       2                  9.9999999999949996E-001                  9.1682338517596511E-004                  3.7616364774266784E+000                 -6.8001885760708944E+000                  4.7653340068014742E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  1.2618433665688833E-001                  3.8914369134657095E-001                  1.2618433665688833E-001                  3.8922682442725975E-001                  9.9834198703784838E-001                  2.3247272255802378E-026                  0.0000000000000000E+000                  1.3060791873791120E+000 
                                       3                  9.9999999999824996E-001                  9.1522321980790349E-004                  3.7627109155859229E+000                 -6.7930593279286295E+000                  4.7735395972405401E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  1.3094360269024846E-001                  3.8897020328097687E-001                  1.3094360269024846E-001                  3.8905694731377394E-001                  9.9834198703784827E-001                  2.3632190861724285E-026                  0.0000000000000000E+000                  1.3060728939985693E+000 
                                       4                  9.9999999999699996E-001                  9.1364909059186180E-004                  3.7643508973437774E+000                 -6.7826774806971795E+000                  4.7855645862786966E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.3584582579383789E-001                  3.8869589859527559E-001                  1.3584582579383789E-001                  3.8887876838574309E-001                  9.9834198703784827E-001                  2.4204151157069096E-026                  0.0000000000000000E+000                  1.3060626049938624E+000 
                                       5                  9.9999999999449996E-001                  9.1057514978242285E-004                  3.7665490538431601E+000                 -6.7698247624364907E+000                  4.8006202271958154E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.4608620704538111E-001                  3.8830807588618832E-001                  1.4608620704538111E-001                  3.8849573203574667E-001                  9.9834198703784838E-001                  2.4931454894974970E-026                  0.0000000000000000E+000                  1.3060473803624875E+000 
                                       6                  9.9999999999215616E-001                  9.0777730983767767E-004                  3.7687500308265878E+000                 -6.7579413987108108E+000                  4.8147098724399848E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.5622574442929180E-001                  3.8789543532516019E-001                  1.5622574442929180E-001                  3.8810175560567428E-001                  9.9834198703784827E-001                  2.5623338887835748E-026                  0.0000000000000000E+000                  1.3060306821643606E+000 
                                       7                  9.9999999998981237E-001                  9.0505493587070230E-004                  3.7714072202250102E+000                 -6.7447250302573876E+000                  4.8305904924904803E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.6697684145122624E-001                  3.8736267020069454E-001                  1.6697684145122624E-001                  3.8766710741467492E-001                  9.9834198703784838E-001                  2.6415414514162323E-026                  0.0000000000000000E+000                  1.3060087066247583E+000 
                                       8                  9.9999999998668743E-001                  9.0153382649101196E-004                  3.7745910457276994E+000                 -6.7304522075027542E+000                  4.8480565574843242E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.8231011746244416E-001                  3.8666994220726347E-001                  1.8231011746244416E-001                  3.8701630620397898E-001                  9.9834198703784838E-001                  2.7298332067514259E-026                  0.0000000000000000E+000                  1.3059797218374496E+000 
                                       9                  9.9999999998356248E-001                  8.9812647382177052E-004                  3.7770964862140879E+000                 -6.7203118925489118E+000                  4.8607104428330423E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.9878154912571336E-001                  3.8608004953264763E-001                  1.9878154912571336E-001                  3.8627668042418628E-001                  9.9834198703784838E-001                  2.7943490163590413E-026                  0.0000000000000000E+000                  1.3059548964505248E+000 
                                      10                  9.9999999998199984E-001                  8.9646208655894393E-004                  3.7796579140046744E+000                 -6.7105863887234269E+000                  4.8730062366013494E+000                  7.0000000000000007E-001                  2.8000000000000019E-001                  1.9999999999999796E-002                  2.0755174935548371E-001                  3.8543612355285917E-001                  2.0755174935548371E-001                  3.8586540753938481E-001                  9.9834198703784838E-001                  2.8576579734208528E-026                  0.0000000000000000E+000                  1.3059279452774981E+000 
                                      11                  9.9999999997887490E-001                  8.9320697217434137E-004                  3.7828014562219923E+000                 -6.6998228174585570E+000                  4.8869251377591523E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002                  2.2626539018197173E-001                  3.8458277121205292E-001                  2.2626539018197173E-001                  3.8494849364382699E-001                  9.9834198703784838E-001                  2.9293981624938221E-026                  0.0000000000000000E+000                  1.3058922806716924E+000 
                                      12                  9.9999999997653122E-001                  8.9082535254282819E-004                  3.7865266224761900E+000                 -6.6881832547164386E+000                  4.9023050170655411E+000                  6.9999999744705954E-001                  2.8000000255294066E-001                  1.9999999999999796E-002                  2.4142086214445593E-001                  3.8347955288175767E-001                  2.4142086214445593E-001                  3.8416906433819220E-001                  9.9834198703784838E-001                  3.0090055394746144E-026                  0.0000000000000000E+000                  1.3058466053022708E+000 
                                      13                  9.9999999997262501E-001                  8.8696087348983375E-004                  3.7924975546607049E+000                 -6.6720862769796634E+000                  4.9244002182636342E+000                  6.9999999361798826E-001                  2.8000000638201189E-001                  1.9999999999999796E-002                  2.6945365086253165E-001                  3.8147979720500558E-001                  2.6945365086253165E-001                  3.8264632134977761E-001                  9.9834198703784838E-001                  3.1226766645130508E-026                  0.0000000000000000E+000                  1.3057646713925912E+000 
                                      14                  9.9999999996715638E-001                  8.8174729840242278E-004                  3.7979993910166776E+000                 -6.6600251509512303E+000                  4.9419920554171970E+000                  6.9999999064544438E-001                  2.8000000935455588E-001                  1.9999999999999796E-002                  3.1452472775433965E-001                  3.7935352296502700E-001                  3.1452472775433965E-001                  3.7999140523702063E-001                  9.9834198703784838E-001                  3.2106540612395488E-026                  0.0000000000000000E+000                  1.3056783134688787E+000 
                                      15                  9.9999999996481237E-001                  8.7957405284091875E-004                  3.8008672111464779E+000                 -6.6543735589779738E+000                  4.9505279438685337E+000                  6.9999998735278757E-001                  2.8000001264721275E-001                  1.9999999999999685E-002                  3.3641985363061705E-001                  3.7813332573927705E-001                  3.3641985363061705E-001                  3.7862140462957705E-001                  9.9834198703784860E-001                  3.2527272327639015E-026                  0.0000000000000000E+000                  1.3056290913344735E+000 
                                      16                  9.9999999996324995E-001                  8.7814393654329990E-004                  3.8044096054824643E+000                 -6.6479112210785498E+000                  4.9605545007088736E+000                  6.9999998645878692E-001                  2.8000001354121323E-001                  1.9999999999999796E-002                  3.5243458696013474E-001                  3.7651443657692346E-001                  3.5243458696013474E-001                  3.7759369601849252E-001                  9.9834198703784838E-001                  3.3015122377379969E-026                  0.0000000000000000E+000                  1.3055639264557399E+000 
