                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      50                                      953                  6.5300000000000002E+000                  2.0000000000000000E-002                  1.8367275811643559E+007                  9.4424216230491432E+005                  1.8993140969534546E+004                  1.6415086718633358E+003                  3.7418051489967770E+000                 -4.8036962753762884E+000                  5.2787081768255173E-001                  2.1546571829134308E-007                  4.5242717956045519E-001                  1.0285746801605496E-004                  1.0900558785139482E-002                  2.5361247849885653E-003                  2.0850244238750353E-003                  6.5300000000000002E+000                  0.0000000000000000E+000                  4.2905169453843568E+000                  1.5814477160574838E-004                  2.1083588730581573E+000                  1.1722229665267141E-002                  2.9202424185342708E-002                  4.9801914902328027E-002                  1.3615209487903972E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8347986558140550E+004                  1.6348688576719721E+005                  3.9780478238884725E+007                  1.6432154742126329E+003                  1.6432154742126324E+003                  1.0349493437630405E-032                  1.1355412288998932E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.7962714315352275E+014                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220409"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       mu 
                                       1                  6.5300000000000002E+000                  5.7308116827388433E-001                  4.2803743492317645E+000                 -9.0306766647586674E+000                  3.4133439022723397E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.3564801639885254E-001                  2.8591093434491749E-001                  1.3564801639885254E-001                  2.8591093434491749E-001                  1.6415086718633358E+003                  6.5444272619644916E-001 
                                       2                  6.5299999999947760E+000                  5.7305932672476045E-001                  4.2838010680080236E+000                 -9.0078705462280162E+000                  3.4380458577260993E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.3885843794414862E-001                  2.8850735963501467E-001                  1.3885843794414862E-001                  2.8724705014987939E-001                  1.6415086718633377E+003                  6.5433113960323752E-001 
                                       3                  6.5299999999898484E+000                  5.7303977556557573E-001                  4.2862671294355579E+000                 -8.9922068559168711E+000                  3.4551897562496716E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.4467260523007019E-001                  2.9032399213901383E-001                  1.4467260523007019E-001                  2.8971844797101409E-001                  1.6415086718633377E+003                  6.5425351731653558E-001 
                                       4                  6.5299999999873846E+000                  5.7303034533529351E-001                  4.2878983339978864E+000                 -8.9821687186578760E+000                  3.4662551746899912E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.4742243126496044E-001                  2.9149905829637845E-001                  1.4742243126496044E-001                  2.9091152521769614E-001                  1.6415086718633377E+003                  6.5420353784725760E-001 
                                       5                  6.5299999999849208E+000                  5.7302112997903731E-001                  4.2895176574178908E+000                 -8.9724304765133223E+000                  3.4770465520537388E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.5006470500757335E-001                  2.9264341778576897E-001                  1.5006470500757335E-001                  2.9207123804107371E-001                  1.6415086718633377E+003                  6.5415509632089919E-001 
                                       6                  6.5299999999824578E+000                  5.7301211839312094E-001                  4.2911246717339715E+000                 -8.9629752462916130E+000                  3.4875771365820509E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.5261177701492787E-001                  2.9375638417269861E-001                  1.5261177701492787E-001                  2.9319990097923376E-001                  1.6415086718633377E+003                  6.5410821777549311E-001 
                                       7                  6.5299999999799940E+000                  5.7300330033937197E-001                  4.2935138845250540E+000                 -8.9492937296794661E+000                  3.5029104198399446E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.5505980814852666E-001                  2.9536736089699911E-001                  1.5505980814852666E-001                  2.9429337641413211E-001                  1.6415086718633377E+003                  6.5404071097006244E-001 
                                       8                  6.5299999999750664E+000                  5.7298620963020697E-001                  4.2959659500422482E+000                 -8.9356222473157132E+000                  3.5183294088692985E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.5970943219438608E-001                  2.9696542251531649E-001                  1.5970943219438608E-001                  2.9639012033272222E-001                  1.6415086718633377E+003                  6.5397432006635625E-001 
                                       9                  6.5299999999722953E+000                  5.7297689317416622E-001                  4.2985839645188610E+000                 -8.9214893409755707E+000                  3.5343904961921324E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.6217989243683228E-001                  2.9860586605303496E-001                  1.6217989243683228E-001                  2.9751223702788931E-001                  1.6415086718633377E+003                  6.5390634878956910E-001 
