                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      50                                     1028                  1.5119999999999999E+001                  2.0000000000000000E-002                  3.3525819607137572E+006                  2.3510462308653968E+005                  2.9677097427106906E+004                  2.3399035070332684E+004                  5.7864111658992989E+000                 -5.9212041030369607E+000                  5.6692185307471010E-001                  6.0562744971610936E-008                  4.1337778766735062E-001                  1.2772578368701603E-004                  1.0852952887803406E-002                  2.5573737705731976E-003                  2.0850244238750371E-003                  1.5119999999999999E+001                  0.0000000000000000E+000                  9.8455937697688807E+000                  2.0561200738159347E-004                  4.9720262950670273E+000                  2.4541452695750324E-002                  8.1198775491032160E-002                  1.0326093162259369E-001                  3.1525569288990550E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5825733917062076E+004                  3.9762826854690691E+004                  6.4618049225330837E+006                  2.3420542710804497E+004                  2.3420542710804497E+004                  2.0902480837561734E-029                  1.6022500502883854E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0579944048342047E+014                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220409"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       mu 
                                       1                  1.5119999999999999E+001                  7.6240929013754788E-001                  4.4728363118187673E+000                 -8.9964050991766094E+000                  3.7621196213255574E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5102335206630485E-001                  2.6598546128386769E-001                  1.5102335206630485E-001                  2.6598546128386769E-001                  2.3399035070332684E+004                  6.5197144493991210E-001 
                                       2                  1.5119999999993951E+001                  7.6240297165432824E-001                  4.4741147761474451E+000                 -8.9876314499344137E+000                  3.7705109518606665E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5192085215962522E-001                  2.6596438041773424E-001                  1.5192085215962522E-001                  2.6597862907319403E-001                  2.3399035070332699E+004                  6.5194805207550677E-001 
                                       3                  1.5119999999981339E+001                  7.6239005706286411E-001                  4.4754101037183798E+000                 -8.9789963691576240E+000                  3.7788571842215983E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5562347950965946E-001                  2.6591838960422487E-001                  1.5562347950965946E-001                  2.6593371987539466E-001                  2.3399035070332699E+004                  6.5192310249027319E-001 
                                       4                  1.5119999999975031E+001                  7.6238372646883479E-001                  4.4762723640431910E+000                 -8.9733771032208196E+000                  3.7843338581820198E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5744436760355546E-001                  2.6587437085678439E-001                  1.5744436760355546E-001                  2.6589638023050460E-001                  2.3399035070332699E+004                  6.5190578548751066E-001 
                                       5                  1.5119999999968723E+001                  7.6237747698616631E-001                  4.4777544244951342E+000                 -8.9639467111778153E+000                  3.7936062026730704E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5924108639313009E-001                  2.6577368665421403E-001                  1.5924108639313009E-001                  2.6584513581051467E-001                  2.3399035070332699E+004                  6.5187465884962459E-001 
                                       6                  1.5119999999953309E+001                  7.6236253051085590E-001                  4.4798527030516926E+000                 -8.9510707786694361E+000                  3.8064370683599189E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.6354524693885575E-001                  2.6557629513797520E-001                  1.6354524693885575E-001                  2.6567499089609459E-001                  2.3399035070332695E+004                  6.5182752620722806E-001 
                                       7                  1.5119999999937898E+001                  7.6234801918671002E-001                  4.4819432224665121E+000                 -8.9387496352948901E+000                  3.8189013518791750E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.6773197340294618E-001                  2.6531596215465308E-001                  1.6773197340294618E-001                  2.6544612864631412E-001                  2.3399035070332699E+004                  6.5177682073774323E-001 
                                       8                  1.5119999999922484E+001                  7.6233391237638182E-001                  4.4840249676941566E+000                 -8.9269431966562802E+000                  3.8310194199327898E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.7179935745431946E-001                  2.6499383290141976E-001                  1.7179935745431946E-001                  2.6515489752803645E-001                  2.3399035070332699E+004                  6.5172225992713484E-001 
                                       9                  1.5119999999907071E+001                  7.6232018257851863E-001                  4.4868946381030934E+000                 -8.9113620913684972E+000                  3.8472796464689147E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.7574526247600103E-001                  2.6444719137918776E-001                  1.7574526247600103E-001                  2.6479666604547114E-001                  2.3399035070332699E+004                  6.5163967065081829E-001 
